trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
316,False,"{'a': 0.01, 'e': 0.042425741080511385}",20,10,18.95730642330239,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.01, 'e': 0.04200359790344555}",25,0,25.412728691503876,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
318,False,"{'a': 0.01, 'e': 0.04158565512117316}",25,12,21.497250776138593,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.01, 'e': 0.04117187093906774}",20,12,13.163128716665533,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.01, 'e': 0.04076220397836621}",20,0,-19.48366338789976,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
321,False,"{'a': 0.01, 'e': 0.04035661327203115}",35,12,32.92776187539385,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.01, 'e': 0.039955058260653896}",35,24,21.61755834485463,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.01, 'e': 0.039557498788398725}",20,0,23.41087464417185,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
324,False,"{'a': 0.01, 'e': 0.039163895098987066}",35,19,29.28468885633812,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.01, 'e': 0.03877420783172201}",25,7,29.807020360809936,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.01, 'e': 0.038388398017552054}",25,0,36.93835257104456,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
327,False,"{'a': 0.01, 'e': 0.038006427075174314}",20,5,14.470774938654873,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.01, 'e': 0.0376282568071762}",25,2,27.024144449021122,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.01, 'e': 0.03725384939621581}",20,12,15.811573355009616,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.01, 'e': 0.036883167401239994}",20,9,19.098882442109037,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.01, 'e': 0.0365161737537404}",20,0,-50.95336265509549,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
332,False,"{'a': 0.01, 'e': 0.03615283175404641}",20,8,11.595995808336621,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
333,False,"{'a': 0.01, 'e': 0.0357931050676553}",20,13,12.815204205840086,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.01, 'e': 0.03543695772159864}",20,0,6.207468103364292,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
335,False,"{'a': 0.01, 'e': 0.035084354100845025}",25,0,-3.0704054034978663,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
336,False,"{'a': 0.01, 'e': 0.03473525894473856}",25,16,15.55382885309828,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.01, 'e': 0.03438963734347271}",20,11,16.176053681737454,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.01, 'e': 0.034047454734599344}",25,14,17.494867433608825,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.01, 'e': 0.033708676899572396}",20,9,8.793728837762103,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
340,False,"{'a': 0.01, 'e': 0.03337326996032608}",25,19,12.191961072764546,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
